organization,project,project_id,location,location_id,recording_date_time,recording_id,task_method,task_id,task_is_complete,species_code,species_common_name,species_scientific_name,species_class,detection_time,task_duration,tag_duration,min_tag_freq,max_tag_freq,tag_id,individual_order,vocalization,abundance,tag_rating,tag_is_verified,clip_channel_used,observer,observer_id,verifier_id,needs_review,left_full_freq_tag_rms_peak_dbfs,left_full_freq_tag_rms_trough_dbfs,left_full_freq_tag_pk_count,left_full_freq_tag_dc_offset,left_full_freq_tag_min_level,left_full_freq_tag_max_level,left_full_freq_tag_peak_level_dbfs,left_freq_filter_tag_rms_peak_dbfs,left_freq_filter_tag_rms_trough_dbfs,left_freq_filter_tag_pk_count,left_freq_filter_tag_dc_offset,left_freq_filter_tag_min_level,left_freq_filter_tag_max_level,left_freq_filter_tag_peak_level_dbfs,right_full_freq_tag_rms_peak_dbfs,right_full_freq_tag_rms_trough_dbfs,right_full_freq_tag_pk_count,right_full_freq_tag_dc_offset,right_full_freq_tag_min_level,right_full_freq_tag_max_level,right_full_freq_tag_peak_level_dbfs,right_freq_filter_tag_rms_peak_dbfs,right_freq_filter_tag_rms_trough_dbfs,right_freq_filter_tag_pk_count,right_freq_filter_tag_dc_offset,right_freq_filter_tag_min_level,right_freq_filter_tag_max_level,right_freq_filter_tag_peak_level_dbfs,tagged_in_wildtrax,media_url,spectrogram_url,clip_url
ECCC- NbS,Tree Planting Initiatives 2025,3564,DOUG-1,546225,2025-06-05 05:37:00,2799035,1SPT,2537868,t,LEFL,Least Flycatcher,EMPIDONAX MINIMUS,Aves,10.00,600.82,5.00,0,12000,5382353,1,Song,1,1,t,1,Siena Blier,4251,4892,f,0,92,,885,155060,171570,31,0,92,,885,154968,171692,31,,,,,,,,,,,,,,,f,https://portal.wildtrax.ca/aru/task/2537868,https://portal.wildtrax.ca/media/aru_tag_clips/6b/d5/2c/3a-79ad-476f-b2b5-3a66e44a564d/02c0f78ad079482d9703d928425d3744.jpg,https://portal.wildtrax.ca/media/aru_tag_clips/6b/d5/2c/3a-79ad-476f-b2b5-3a66e44a564d/434b35b32e3748618ce287056b4b5e19.flac
ECCC- NbS,Tree Planting Initiatives 2025,3564,DOUG-1,546225,2025-06-05 05:37:00,2799035,1SPT,2537868,t,YEWA,Yellow Warbler,SETOPHAGA PETECHIA,Aves,54.00,600.82,7.00,0,12000,5382422,1,Song,1,5,t,1,Siena Blier,4251,4892,f,51,56,,575,170288,155792,38,51,56,,575,170410,155640,37,,,,,,,,,,,,,,,t,https://portal.wildtrax.ca/aru/task/2537868,https://portal.wildtrax.ca/media/aru_tag_clips/6b/d5/2c/3a-79ad-476f-b2b5-3a66e44a564d/0ca8783c177249d99d91cc18dc702c1d.jpg,https://portal.wildtrax.ca/media/aru_tag_clips/6b/d5/2c/3a-79ad-476f-b2b5-3a66e44a564d/4a87b56a8a9c4e98a1685063a8fcbb26.flac
ECCC- NbS,Tree Planting Initiatives 2025,3564,DOUG-1,546225,2025-06-05 06:37:00,2799036,1SPT,2537869,t,PHVI,Philadelphia Vireo,VIREO PHILADELPHICUS,Aves,372.00,600.82,3.00,0,12000,5382375,1,Song,1,1,t,1,Siena Blier,4251,1467,f,66,47,,182,160736,158630,88,66,47,,182,160675,158417,88,,,,,,,,,,,,,,,f,https://portal.wildtrax.ca/aru/task/2537869,https://portal.wildtrax.ca/media/aru_tag_clips/7c/73/3a/fd-95b6-4eaf-867e-69ba0acdf2fe/4ecfc5605f944b0dbd2226511187e9a9.jpg,https://portal.wildtrax.ca/media/aru_tag_clips/7c/73/3a/fd-95b6-4eaf-867e-69ba0acdf2fe/b1933d2747c54962845252b4fc89b003.flac
ECCC- NbS,Tree Planting Initiatives 2025,3564,DOUG-1,546225,2025-06-05 06:37:00,2799036,1SPT,2537869,t,LEFL,Least Flycatcher,EMPIDONAX MINIMUS,Aves,422.00,600.82,7.00,0,12000,5382354,1,Song,1,5,t,1,Siena Blier,4251,4892,f,38,43,,223,166718,177124,3,38,43,,223,166809,177307,3,,,,,,,,,,,,,,,f,https://portal.wildtrax.ca/aru/task/2537869,https://portal.wildtrax.ca/media/aru_tag_clips/7c/73/3a/fd-95b6-4eaf-867e-69ba0acdf2fe/317149cd567c4209bf052148e5d2918f.jpg,https://portal.wildtrax.ca/media/aru_tag_clips/7c/73/3a/fd-95b6-4eaf-867e-69ba0acdf2fe/5abe96c1153243a78c0c16e01450a8d7.flac
ECCC- NbS,Tree Planting Initiatives 2025,3564,DOUG-1,546225,2025-06-05 07:37:00,2799038,1SPT,2537871,t,NRWS,Northern Rough-winged Swallow,STELGIDOPTERYX SERRIPENNIS,Aves,158.00,600.82,5.00,0,12000,5382368,1,Song,1,1,t,1,Siena Blier,4251,4251,f,49,6,,1384,304321,236023,33,49,6,,1384,304352,235809,33,,,,,,,,,,,,,,,f,https://portal.wildtrax.ca/aru/task/2537871,https://portal.wildtrax.ca/media/aru_tag_clips/86/a3/29/98-e12a-4754-9e92-da9491955f2f/e8f5b0e33c0f43bcb05bd6fd7cc83c74.jpg,https://portal.wildtrax.ca/media/aru_tag_clips/86/a3/29/98-e12a-4754-9e92-da9491955f2f/9045bb7d1e4f4d89a6361b79affccb28.flac
ECCC- NbS,Tree Planting Initiatives 2025,3564,DOUG-1,546225,2025-06-05 07:37:00,2799038,1SPT,2537871,t,LEFL,Least Flycatcher,EMPIDONAX MINIMUS,Aves,582.00,600.82,7.00,0,12000,5382352,1,Song,1,,t,1,Siena Blier,4251,4251,f,23,46,,1482,277710,278656,10,23,46,,1482,277618,278625,10,,,,,,,,,,,,,,,f,https://portal.wildtrax.ca/aru/task/2537871,https://portal.wildtrax.ca/media/aru_tag_clips/86/a3/29/98-e12a-4754-9e92-da9491955f2f/921c89141e274196ba336ca304c155a6.jpg,https://portal.wildtrax.ca/media/aru_tag_clips/86/a3/29/98-e12a-4754-9e92-da9491955f2f/14e375358e754de5ab83e7a9b619bb91.flac
ECCC- NbS,Tree Planting Initiatives 2025,3564,DOUG-1,546225,2025-06-05 08:37:00,2799042,1SPT,2537875,t,BLPW,Blackpoll Warbler,SETOPHAGA STRIATA,Aves,572.00,600.82,3.00,0,12000,5382286,1,Song,1,1,t,1,Siena Blier,4251,1474,f,36,99,,1429,209381,184387,58,36,99,,1429,209442,184448,58,,,,,,,,,,,,,,,f,https://portal.wildtrax.ca/aru/task/2537875,https://portal.wildtrax.ca/media/aru_tag_clips/8a/2b/03/8d-d220-45ab-a285-35ea824bf3a7/f69cb11c770d495eaa9c1859fd682098.jpg,https://portal.wildtrax.ca/media/aru_tag_clips/8a/2b/03/8d-d220-45ab-a285-35ea824bf3a7/9ceb4ee81cea42aca3850d77754b2803.flac
ECCC- NbS,Tree Planting Initiatives 2025,3564,DOUG-1,546225,2025-06-06 06:37:00,2799045,1SPT,2537878,t,CEDW,Cedar Waxwing,BOMBYCILLA CEDRORUM,Aves,16.00,600.82,15.00,0,12000,5382308,1,Song,1,,t,1,Siena Blier,4251,4251,f,71,70,,965,155518,147919,16,71,70,,965,155823,147583,15,,,,,,,,,,,,,,,f,https://portal.wildtrax.ca/aru/task/2537878,https://portal.wildtrax.ca/media/aru_tag_clips/29/a9/20/3d-cdfe-42bc-aed8-2044fca47eed/0dbe8a19eb484999bfbb431a5fb0ccbb.jpg,https://portal.wildtrax.ca/media/aru_tag_clips/29/a9/20/3d-cdfe-42bc-aed8-2044fca47eed/0d740e025d6242bba06ad29477f516c5.flac
ECCC- NbS,Tree Planting Initiatives 2025,3564,DOUG-1,546225,2025-06-06 06:37:00,2799045,1SPT,2537878,t,BLPW,Blackpoll Warbler,SETOPHAGA STRIATA,Aves,72.00,600.82,7.00,0,12000,5382287,1,Song,1,1,t,1,Siena Blier,4251,1474,f,58,89,,960,107758,126221,98,58,89,,960,107758,126190,98,,,,,,,,,,,,,,,f,https://portal.wildtrax.ca/aru/task/2537878,https://portal.wildtrax.ca/media/aru_tag_clips/29/a9/20/3d-cdfe-42bc-aed8-2044fca47eed/452f78e1771945c5babc6fc9c0d26fa0.jpg,https://portal.wildtrax.ca/media/aru_tag_clips/29/a9/20/3d-cdfe-42bc-aed8-2044fca47eed/acfa27fa633346f899918911ff00e761.flac
ECCC- NbS,Tree Planting Initiatives 2025,3564,DOUG-1,546225,2025-06-06 06:37:00,2799045,1SPT,2537878,t,GCKI,Golden-crowned Kinglet,REGULUS SATRAPA,Aves,194.00,600.82,7.00,0,12000,5382336,1,Song,1,1,t,1,Siena Blier,4251,4251,f,58,41,,908,129791,122528,74,58,42,,908,129608,122650,75,,,,,,,,,,,,,,,f,https://portal.wildtrax.ca/aru/task/2537878,https://portal.wildtrax.ca/media/aru_tag_clips/29/a9/20/3d-cdfe-42bc-aed8-2044fca47eed/58735f0d20244410a22882b65aa2d99c.jpg,https://portal.wildtrax.ca/media/aru_tag_clips/29/a9/20/3d-cdfe-42bc-aed8-2044fca47eed/5970c195e07347edae10d1b7b69cb0c0.flac
ECCC- NbS,Tree Planting Initiatives 2025,3564,DOUG-1,546225,2025-06-06 06:37:00,2799045,1SPT,2537878,t,YRWA,Yellow-rumped Warbler,SETOPHAGA CORONATA,Aves,208.00,600.82,5.00,0,12000,5382424,1,Song,1,1,t,1,Siena Blier,4251,4892,f,22,66,,884,118713,119476,45,22,66,,884,118896,119537,45,,,,,,,,,,,,,,,f,https://portal.wildtrax.ca/aru/task/2537878,https://portal.wildtrax.ca/media/aru_tag_clips/29/a9/20/3d-cdfe-42bc-aed8-2044fca47eed/84ba12e1a3654ec2a0f2e8613beab45f.jpg,https://portal.wildtrax.ca/media/aru_tag_clips/29/a9/20/3d-cdfe-42bc-aed8-2044fca47eed/9a1f4c195cfb42c6a2efdba22993060c.flac
ECCC- NbS,Tree Planting Initiatives 2025,3564,DOUG-1,546225,2025-06-06 06:37:00,2799045,1SPT,2537878,t,YEWA,Yellow Warbler,SETOPHAGA PETECHIA,Aves,448.00,600.82,9.00,0,12000,5382423,1,Song,1,5,t,1,Siena Blier,4251,4892,f,5,94,,1289,111053,126373,97,5,94,,1289,110840,126526,96,,,,,,,,,,,,,,,t,https://portal.wildtrax.ca/aru/task/2537878,https://portal.wildtrax.ca/media/aru_tag_clips/29/a9/20/3d-cdfe-42bc-aed8-2044fca47eed/eba8116f82a548e9813d5327cb8e85db.jpg,https://portal.wildtrax.ca/media/aru_tag_clips/29/a9/20/3d-cdfe-42bc-aed8-2044fca47eed/478e1b6bdf4c49308708803242f80388.flac
ECCC- NbS,Tree Planting Initiatives 2025,3564,DOUG-1,546225,2025-06-06 07:37:00,2799046,1SPT,2537879,t,REVI,Red-eyed Vireo,VIREO OLIVACEUS,Aves,486.00,600.82,29.00,0,12000,5382381,1,Song,1,,t,1,Siena Blier,4251,4251,f,63,69,,160,187439,161072,54,63,69,,160,187805,161133,53,,,,,,,,,,,,,,,f,https://portal.wildtrax.ca/aru/task/2537879,https://portal.wildtrax.ca/media/aru_tag_clips/92/43/bc/9c-d444-4139-9c43-a93f240923d6/d6ff3d0af2214bf49511995aa070de29.jpg,https://portal.wildtrax.ca/media/aru_tag_clips/92/43/bc/9c-d444-4139-9c43-a93f240923d6/3b340416429241fea40382b57206899e.flac
ECCC- NbS,Tree Planting Initiatives 2025,3564,DOUG-1,546225,2025-06-06 08:37:00,2799054,1SPT,2537887,t,SWTH,Swainson's Thrush,CATHARUS USTULATUS,Aves,592.00,600.82,5.00,0,12000,5382398,1,Song,1,1,t,1,Siena Blier,4251,4251,f,60,60,,936,167145,144257,54,60,60,,936,167145,144592,54,,,,,,,,,,,,,,,f,https://portal.wildtrax.ca/aru/task/2537887,https://portal.wildtrax.ca/media/aru_tag_clips/d0/fe/20/27-c7a4-4ff3-b392-a1d9f3942b0b/2727d8f12e724b2896ee8f30b1cd62d3.jpg,https://portal.wildtrax.ca/media/aru_tag_clips/d0/fe/20/27-c7a4-4ff3-b392-a1d9f3942b0b/a06bd1edc9ae4a6fa6a0a709cb563955.flac
ECCC- NbS,Tree Planting Initiatives 2025,3564,DOUG-1,546225,2025-06-07 05:36:00,2799052,1SPT,2537885,t,NSWO,Northern Saw-whet Owl,AEGOLIUS ACADICUS,Aves,78.00,600.82,3.00,0,12000,5382369,1,Song,1,1,t,1,Siena Blier,4251,4251,f,70,80,,754,130249,149872,49,70,80,,754,129944,149719,49,,,,,,,,,,,,,,,f,https://portal.wildtrax.ca/aru/task/2537885,https://portal.wildtrax.ca/media/aru_tag_clips/b1/5b/1c/51-af6a-44e8-b196-1451a8cc4bac/f1c78b8cc8b94d95a4e73835097c3ff4.jpg,https://portal.wildtrax.ca/media/aru_tag_clips/b1/5b/1c/51-af6a-44e8-b196-1451a8cc4bac/c2eec414604f4abf9b0265f08a69aa4e.flac
ECCC- NbS,Tree Planting Initiatives 2025,3564,DOUG-1,546225,2025-06-07 05:36:00,2799052,1SPT,2537885,t,REVI,Red-eyed Vireo,VIREO OLIVACEUS,Aves,148.00,600.82,29.00,0,12000,5382382,1,Song,1,5,t,1,Siena Blier,4251,4892,f,16,2,,963,151855,144043,37,16,2,,963,151611,143768,39,,,,,,,,,,,,,,,t,https://portal.wildtrax.ca/aru/task/2537885,https://portal.wildtrax.ca/media/aru_tag_clips/b1/5b/1c/51-af6a-44e8-b196-1451a8cc4bac/4ae2b09812074977ae47716236f3bb4a.jpg,https://portal.wildtrax.ca/media/aru_tag_clips/b1/5b/1c/51-af6a-44e8-b196-1451a8cc4bac/d2e36b982d42474995d230670a0aa991.flac
ECCC- NbS,Tree Planting Initiatives 2025,3564,DOUG-1,546225,2025-06-07 05:36:00,2799052,1SPT,2537885,t,NHWR,Northern House Wren,TROGLODYTES AEDON,Aves,492.00,600.82,5.00,0,12000,5382345,1,Song,1,1,t,1,Siena Blier,4251,4892,f,76,7,,906,118530,112885,52,76,7,,906,118286,112793,54,,,,,,,,,,,,,,,f,https://portal.wildtrax.ca/aru/task/2537885,https://portal.wildtrax.ca/media/aru_tag_clips/b1/5b/1c/51-af6a-44e8-b196-1451a8cc4bac/21b9b19c43d8427ead76bf3732df2826.jpg,https://portal.wildtrax.ca/media/aru_tag_clips/b1/5b/1c/51-af6a-44e8-b196-1451a8cc4bac/9b2a50d73a39479eb5e3919778957741.flac
ECCC- NbS,Tree Planting Initiatives 2025,3564,DOUG-1,546225,2025-06-07 05:36:00,2799052,1SPT,2537885,t,KILL,Killdeer,CHARADRIUS VOCIFERUS,Aves,534.00,600.82,5.00,0,12000,5382351,1,Song,1,5,t,1,Siena Blier,4251,4892,f,98,59,,914,121094,122162,26,98,59,,914,121063,122009,27,,,,,,,,,,,,,,,f,https://portal.wildtrax.ca/aru/task/2537885,https://portal.wildtrax.ca/media/aru_tag_clips/b1/5b/1c/51-af6a-44e8-b196-1451a8cc4bac/d2d1a2f075744f52bb6d0c933f0256a8.jpg,https://portal.wildtrax.ca/media/aru_tag_clips/b1/5b/1c/51-af6a-44e8-b196-1451a8cc4bac/47a2a50e73044c4d82c33f21ff264a0e.flac
ECCC- NbS,Tree Planting Initiatives 2025,3564,DOUG-1,546225,2025-06-07 06:36:00,2799053,1SPT,2537886,t,RBGU,Ring-billed Gull,LARUS DELAWARENSIS,Aves,14.00,600.82,7.00,0,12000,5382388,1,Song,1,,t,1,Siena Blier,4251,4251,f,88,59,,289,114258,115082,78,88,59,,289,114014,115234,77,,,,,,,,,,,,,,,f,https://portal.wildtrax.ca/aru/task/2537886,https://portal.wildtrax.ca/media/aru_tag_clips/f0/bd/90/01-4b46-46ca-8255-19d6222c7a0a/89310cc55be94da89ef1099aed2ddd12.jpg,https://portal.wildtrax.ca/media/aru_tag_clips/f0/bd/90/01-4b46-46ca-8255-19d6222c7a0a/a1bbce84da704da891875a8397161012.flac
ECCC- NbS,Tree Planting Initiatives 2025,3564,DOUG-1,546225,2025-06-07 06:36:00,2799053,1SPT,2537886,t,HETH,Hermit Thrush,CATHARUS GUTTATUS,Aves,586.00,600.82,3.00,0,12000,5382344,1,Song,1,1,t,1,Siena Blier,4251,4251,f,57,54,,540,130768,123749,67,57,54,,540,130829,123413,67,,,,,,,,,,,,,,,f,https://portal.wildtrax.ca/aru/task/2537886,https://portal.wildtrax.ca/media/aru_tag_clips/f0/bd/90/01-4b46-46ca-8255-19d6222c7a0a/10a2be6749464367bc255b26f7f32751.jpg,https://portal.wildtrax.ca/media/aru_tag_clips/f0/bd/90/01-4b46-46ca-8255-19d6222c7a0a/2d40050517724205aae025f03c4c2f30.flac
ECCC- NbS,Tree Planting Initiatives 2025,3564,DOUG-1,546225,2025-06-08 05:36:00,2799058,1SPT,2537891,t,BLPW,Blackpoll Warbler,SETOPHAGA STRIATA,Aves,182.00,600.82,5.00,0,12000,5382288,1,Song,1,1,t,1,Siena Blier,4251,1474,f,7,88,,712,103821,101349,67,7,88,,712,103577,101440,69,,,,,,,,,,,,,,,f,https://portal.wildtrax.ca/aru/task/2537891,https://portal.wildtrax.ca/media/aru_tag_clips/c4/c9/a5/1c-e9f6-4fe4-81ac-64edfa308e7d/af1bd8a0fa534d08be45832d02685169.jpg,https://portal.wildtrax.ca/media/aru_tag_clips/c4/c9/a5/1c-e9f6-4fe4-81ac-64edfa308e7d/896e2a7f46974a5fba89e5a31f99d033.flac
ECCC- NbS,Tree Planting Initiatives 2025,3564,DOUG-1,546225,2025-06-08 06:36:00,2799060,1SPT,2537893,t,EAWP,Eastern Wood-Pewee,CONTOPUS VIRENS,Aves,122.00,600.82,3.00,0,12000,5382331,1,Song,1,1,t,1,Siena Blier,4251,4892,f,19,50,,605,259430,282623,98,19,50,,605,259369,282623,98,,,,,,,,,,,,,,,t,https://portal.wildtrax.ca/aru/task/2537893,https://portal.wildtrax.ca/media/aru_tag_clips/f1/5d/b4/4c-be87-4a7e-9e8c-fbc04d750722/3598f708a12c4a358e2e0285d57e4c91.jpg,https://portal.wildtrax.ca/media/aru_tag_clips/f1/5d/b4/4c-be87-4a7e-9e8c-fbc04d750722/a2c9e805640b44a285bc1428dc9763f6.flac
ECCC- NbS,Tree Planting Initiatives 2025,3564,DOUG-1,546225,2025-06-08 06:36:00,2799060,1SPT,2537893,t,RWBL,Red-winged Blackbird,AGELAIUS PHOENICEUS,Aves,424.00,600.82,29.00,0,12000,5382383,1,Song,1,,t,1,Siena Blier,4251,4251,f,29,92,,631,231415,282745,97,29,92,,631,231445,282837,97,,,,,,,,,,,,,,,f,https://portal.wildtrax.ca/aru/task/2537893,https://portal.wildtrax.ca/media/aru_tag_clips/f1/5d/b4/4c-be87-4a7e-9e8c-fbc04d750722/0070e61e0e13409285ea0f964462315f.jpg,https://portal.wildtrax.ca/media/aru_tag_clips/f1/5d/b4/4c-be87-4a7e-9e8c-fbc04d750722/3775c0c1722041b3a0e73d5af2f1aa73.flac
