"","location","recording_date_time","species_code","species_common_name","tag_rating"
"66","DOUG-1","2025-07-08 05:45:00","COGR","Common Grackle",5
"67","DOUG-1","2025-07-08 05:45:00","SOSP","Song Sparrow",NA
"68","DOUG-1","2025-07-08 06:45:00","WBNU","White-breasted Nuthatch",NA
"69","DOUG-1","2025-07-08 07:45:00","DOWO","Downy Woodpecker",NA
"70","DOUG-1","2025-07-09 05:45:00","NOFL","Northern Flicker",5
"71","DOUG-1","2025-07-09 05:45:00","DOWO","Downy Woodpecker",NA
"72","DOUG-1","2025-07-09 06:45:00","NOFL","Northern Flicker",NA
"73","DOUG-1","2025-07-09 06:45:00","WBNU","White-breasted Nuthatch",NA
"74","DOUG-1","2025-07-09 06:45:00","DOWO","Downy Woodpecker",5
"75","DOUG-1","2025-07-09 07:45:00","NOFL","Northern Flicker",5
"76","DOUG-1","2025-07-10 06:46:00","COGR","Common Grackle",NA
"77","DOUG-2","2025-06-03 05:38:00","GCKI","Golden-crowned Kinglet",5
"78","DOUG-2","2025-06-03 05:38:00","YEWA","Yellow Warbler",NA
"79","DOUG-2","2025-06-03 08:38:00","CEDW","Cedar Waxwing",NA
"80","DOUG-2","2025-06-04 05:38:00","WAVI","Warbling Vireo",5
"81","DOUG-2","2025-06-04 05:38:00","RBGU","Ring-billed Gull",NA
"82","DOUG-2","2025-06-04 05:38:00","REVI","Red-eyed Vireo",NA
"83","DOUG-2","2025-06-04 06:38:00","HOFI","House Finch",5
"84","DOUG-2","2025-06-04 07:38:00","EUST","European Starling",5
"85","DOUG-2","2025-06-04 08:38:00","CANG","Canada Goose",NA
"86","DOUG-2","2025-06-04 08:38:00","EUST","European Starling",5
"87","DOUG-2","2025-06-05 06:37:00","AMRE","American Redstart",5
"88","DOUG-2","2025-06-06 04:37:00","AMRO","American Robin",NA
"89","DOUG-2","2025-06-06 05:37:00","YEWA","Yellow Warbler",NA
"90","DOUG-2","2025-06-06 05:37:00","SOSP","Song Sparrow",NA
"91","DOUG-2","2025-06-07 05:36:00","YEWA","Yellow Warbler",NA
"92","DOUG-2","2025-06-07 05:36:00","CHSP","Chipping Sparrow",NA
"93","DOUG-2","2025-06-07 07:36:00","COGR","Common Grackle",5
"94","DOUG-2","2025-06-07 07:36:00","RWBL","Red-winged Blackbird",NA
"95","DOUG-2","2025-06-07 07:36:00","NOFL","Northern Flicker",5
"96","DOUG-2","2025-06-07 08:36:00","CEDW","Cedar Waxwing",5
"97","DOUG-2","2025-06-07 08:36:00","MERL","Merlin",NA
"98","DOUG-2","2025-06-08 04:36:00","NOCA","Northern Cardinal",NA
"99","DOUG-2","2025-06-08 07:36:00","EABL","Eastern Bluebird",NA
"100","DOUG-2","2025-06-08 07:36:00","AMRE","American Redstart",5
"101","DOUG-2","2025-06-08 08:36:00","MAWA","Magnolia Warbler",5
"102","DOUG-2","2025-06-08 08:36:00","AMCR","American Crow",NA
"103","DOUG-2","2025-06-10 08:36:00","GCFL","Great Crested Flycatcher",5
"104","DOUG-2","2025-06-11 05:36:00","REVI","Red-eyed Vireo",NA
"105","DOUG-2","2025-06-11 06:36:00","EUST","European Starling",5
"106","DOUG-2","2025-06-12 05:35:00","AMRO","American Robin",NA
"107","DOUG-2","2025-06-12 07:35:00","RBGU","Ring-billed Gull",NA
"108","DOUG-2","2025-06-13 08:35:00","GCFL","Great Crested Flycatcher",5
"109","DOUG-2","2025-06-14 05:35:00","CANG","Canada Goose",NA
"110","DOUG-2","2025-06-14 07:35:00","CSWA","Chestnut-sided Warbler",5
"111","DOUG-2","2025-06-14 08:35:00","CHSW","Chimney Swift",5
"112","DOUG-2","2025-06-15 07:35:00","AMGO","American Goldfinch",NA
"113","DOUG-2","2025-06-16 06:35:00","AMRE","American Redstart",5
"114","DOUG-2","2025-06-17 04:35:00","EABL","Eastern Bluebird",NA
"115","DOUG-2","2025-06-17 04:35:00","CSWA","Chestnut-sided Warbler",5
"116","DOUG-2","2025-06-17 05:35:00","CHSP","Chipping Sparrow",NA
"117","DOUG-2","2025-06-18 05:35:00","HAWO","Hairy Woodpecker",5
"118","DOUG-2","2025-06-18 05:35:00","WAVI","Warbling Vireo",5
"119","DOUG-2","2025-06-18 06:35:00","BAOR","Baltimore Oriole",NA
"120","DOUG-2","2025-06-21 05:36:00","RBNU","Red-breasted Nuthatch",NA
"121","DOUG-2","2025-06-22 06:36:00","AMCR","American Crow",NA
"122","DOUG-2","2025-06-22 07:36:00","BAOR","Baltimore Oriole",NA
"123","DOUG-2","2025-06-23 04:36:00","NOCA","Northern Cardinal",NA
"124","DOUG-2","2025-06-23 05:36:00","GRCA","Gray Catbird",5
"125","DOUG-2","2025-06-23 06:36:00","DOWO","Downy Woodpecker",5
"126","DOUG-2","2025-06-23 07:36:00","GCKI","Golden-crowned Kinglet",5
"127","DOUG-2","2025-06-24 08:37:00","WBNU","White-breasted Nuthatch",NA
"128","DOUG-2","2025-06-25 04:37:00","RBGU","Ring-billed Gull",NA
"129","DOUG-2","2025-06-25 05:37:00","AMGO","American Goldfinch",NA
"130","DOUG-2","2025-06-25 05:37:00","CHSW","Chimney Swift",NA
"131","DOUG-2","2025-06-27 04:38:00","BRTH","Brown Thrasher",5
"132","DOUG-2","2025-06-29 04:39:00","AMRO","American Robin",NA
"133","DOUG-2","2025-06-29 04:39:00","SOSP","Song Sparrow",NA
"134","DOUG-2","2025-06-29 05:39:00","GRCA","Gray Catbird",5
"135","DOUG-2","2025-07-01 05:40:00","NOCA","Northern Cardinal",NA
"136","DOUG-2","2025-07-01 05:40:00","AMGO","American Goldfinch",NA
"137","DOUG-2","2025-07-01 06:40:00","CORA","Common Raven",NA
"138","DOUG-2","2025-07-01 08:40:00","CORA","Common Raven",NA
"139","DOUG-2","2025-07-03 06:41:00","NOFL","Northern Flicker",5
"140","DOUG-2","2025-07-04 05:42:00","RWBL","Red-winged Blackbird",NA
"141","DOUG-2","2025-07-04 07:42:00","RWBL","Red-winged Blackbird",NA
"142","DOUG-2","2025-07-04 08:42:00","MAWA","Magnolia Warbler",5
"143","DOUG-2","2025-07-05 05:42:00","BCCH","Black-capped Chickadee",NA
"144","DOUG-2","2025-07-05 06:42:00","NOFL","Northern Flicker",5
"145","DOUG-2","2025-07-05 08:42:00","HOSP","House Sparrow",NA
"146","DOUG-2","2025-07-06 08:43:00","SOSP","Song Sparrow",NA
"147","DOUG-2","2025-07-07 04:44:00","HOSP","House Sparrow",NA
"148","DOUG-2","2025-07-07 05:44:00","BCCH","Black-capped Chickadee",NA
"149","DOUG-2","2025-07-07 06:44:00","CEDW","Cedar Waxwing",5
"150","DOUG-2","2025-07-08 04:45:00","GRCA","Gray Catbird",5
"151","DOUG-2","2025-07-08 05:45:00","EAKI","Eastern Kingbird",5
"152","DOUG-2","2025-07-08 06:45:00","CHSP","Chipping Sparrow",5
"153","DOUG-2","2025-07-08 07:45:00","DOWO","Downy Woodpecker",NA
"154","DOUG-2","2025-07-09 04:45:00","BRTH","Brown Thrasher",5
"155","DOUG-2","2025-07-09 05:45:00","BCCH","Black-capped Chickadee",NA
"156","DOUG-2","2025-07-09 08:45:00","REVI","Red-eyed Vireo",NA
"157","DOUG-2","2025-07-10 08:46:00","BAWW","Black-and-white Warbler",5
"158","HOMR-1","2025-06-05 04:37:00","NOCA","Northern Cardinal",NA
"159","HOMR-1","2025-06-05 05:37:00","AMCR","American Crow",NA
"160","HOMR-1","2025-06-05 05:37:00","NOCA","Northern Cardinal",NA
"161","HOMR-1","2025-06-05 07:37:00","NOCA","Northern Cardinal",NA
"162","HOMR-1","2025-06-05 07:37:00","HOSP","House Sparrow",NA
"163","HOMR-1","2025-06-06 05:36:00","AMRO","American Robin",NA
"164","HOMR-1","2025-06-06 05:36:00","GRCA","Gray Catbird",5
"165","HOMR-1","2025-06-06 05:36:00","CHSW","Chimney Swift",NA
"166","HOMR-1","2025-06-06 06:36:00","HOSP","House Sparrow",NA
"167","HOMR-1","2025-06-06 07:36:00","HOFI","House Finch",5
"168","HOMR-1","2025-06-06 08:36:00","REVI","Red-eyed Vireo",5
"169","HOMR-1","2025-06-06 08:36:00","CEDW","Cedar Waxwing",5
"170","HOMR-1","2025-06-07 04:36:00","CHSP","Chipping Sparrow",NA
"171","HOMR-1","2025-06-07 05:36:00","BLJA","Blue Jay",NA
"172","HOMR-1","2025-06-07 05:36:00","EAWP","Eastern Wood-Pewee",NA
"173","HOMR-1","2025-06-07 06:36:00","EAWP","Eastern Wood-Pewee",NA
"174","HOMR-1","2025-06-07 07:36:00","EAWP","Eastern Wood-Pewee",NA
"175","HOMR-1","2025-06-07 07:36:00","SOSP","Song Sparrow",NA
"176","HOMR-1","2025-06-07 07:36:00","YEWA","Yellow Warbler",NA
"177","HOMR-1","2025-06-07 08:36:00","BLJA","Blue Jay",NA
"178","HOMR-1","2025-06-08 05:36:00","EUST","European Starling",5
"179","HOMR-1","2025-06-08 06:36:00","REVI","Red-eyed Vireo",NA
"180","HOMR-1","2025-06-09 04:35:00","CHSP","Chipping Sparrow",5
"181","HOMR-1","2025-06-09 04:35:00","EABL","Eastern Bluebird",NA
"182","HOMR-1","2025-06-09 05:35:00","EUST","European Starling",5
"183","HOMR-1","2025-06-10 08:35:00","RWBL","Red-winged Blackbird",NA
"184","HOMR-1","2025-06-10 08:35:00","GRCA","Gray Catbird",5
"185","HOMR-1","2025-06-11 04:35:00","AMRO","American Robin",NA
"186","HOMR-1","2025-06-11 06:35:00","YEWA","Yellow Warbler",5
"187","HOMR-1","2025-06-12 05:35:00","BLJA","Blue Jay",NA
"188","HOMR-1","2025-06-13 06:35:00","SOSP","Song Sparrow",NA
"189","HOMR-1","2025-06-13 06:35:00","NAWA","Nashville Warbler",5
"190","HOMR-1","2025-06-13 07:35:00","AMGO","American Goldfinch",NA
"191","HOMR-1","2025-06-13 08:35:00","CANG","Canada Goose",NA
"192","HOMR-1","2025-06-14 05:35:00","CORA","Common Raven",NA
"193","HOMR-1","2025-06-14 06:35:00","AMCR","American Crow",NA
"194","HOMR-1","2025-06-14 06:35:00","CORA","Common Raven",NA
"195","HOMR-1","2025-06-14 06:35:00","DOWO","Downy Woodpecker",NA
"196","HOMR-1","2025-06-14 07:35:00","CHSW","Chimney Swift",NA
"197","HOMR-1","2025-06-14 08:35:00","CEDW","Cedar Waxwing",NA
"198","HOMR-1","2025-06-14 08:35:00","RBNU","Red-breasted Nuthatch",NA
"199","HOMR-1","2025-06-15 04:35:00","EABL","Eastern Bluebird",NA
"200","HOMR-1","2025-06-15 06:35:00","SOSP","Song Sparrow",NA
"201","HOMR-1","2025-06-15 07:35:00","AMRO","American Robin",NA
"202","HOMR-1","2025-06-15 07:35:00","COGR","Common Grackle",5
"203","HOMR-1","2025-06-15 07:35:00","HOFI","House Finch",5
"204","HOMR-1","2025-06-15 07:35:00","WCSP","White-crowned Sparrow",NA
"205","HOMR-1","2025-06-16 05:35:00","BAOR","Baltimore Oriole",5
"206","HOMR-1","2025-06-16 05:35:00","MAWA","Magnolia Warbler",5
"207","HOMR-1","2025-06-16 05:35:00","WCSP","White-crowned Sparrow",NA
"208","HOMR-1","2025-06-16 06:35:00","YEWA","Yellow Warbler",NA
"209","HOMR-1","2025-06-18 06:35:00","WAVI","Warbling Vireo",5
"210","HOMR-1","2025-06-18 06:35:00","RWBL","Red-winged Blackbird",NA
"211","HOMR-1","2025-06-21 05:35:00","BBWA","Bay-breasted Warbler",5
"212","HOMR-1","2025-06-21 05:35:00","WAVI","Warbling Vireo",5
"213","HOMR-1","2025-06-21 06:35:00","DOWO","Downy Woodpecker",5
"214","HOMR-1","2025-06-21 06:35:00","EUST","European Starling",5
"215","HOMR-1","2025-06-21 07:35:00","MODO","Mourning Dove",NA
"216","HOMR-1","2025-06-21 07:35:00","PUMA","Purple Martin",5
"217","HOMR-1","2025-06-23 05:36:00","HOSP","House Sparrow",NA
"218","HOMR-1","2025-06-23 08:36:00","CSWA","Chestnut-sided Warbler",5
"219","HOMR-1","2025-06-24 05:36:00","RBGU","Ring-billed Gull",NA
"220","HOMR-1","2025-06-24 08:36:00","BCCH","Black-capped Chickadee",NA
"221","HOMR-1","2025-06-25 06:36:00","AMGO","American Goldfinch",NA
"222","HOMR-1","2025-06-25 06:36:00","CEDW","Cedar Waxwing",NA
"223","HOMR-1","2025-06-27 05:37:00","MODO","Mourning Dove",NA
"224","HOMR-1","2025-06-27 07:37:00","AMGO","American Goldfinch",NA
"225","HOMR-1","2025-06-27 08:37:00","AMCR","American Crow",NA
"226","HOMR-1","2025-06-30 05:39:00","MODO","Mourning Dove",NA
"227","HOMR-1","2025-06-30 06:39:00","RBNU","Red-breasted Nuthatch",5
"228","HOMR-1","2025-06-30 07:39:00","CHSP","Chipping Sparrow",NA
"229","HOMR-1","2025-07-02 06:40:00","TEWA","Tennessee Warbler",NA
"230","HOMR-1","2025-07-03 04:40:00","RBGU","Ring-billed Gull",NA
"231","HOMR-1","2025-07-04 05:41:00","RBGU","Ring-billed Gull",NA
"232","HOMR-1","2025-07-04 06:41:00","BRCR","Brown Creeper",5
"233","HOMR-1","2025-07-05 04:42:00","GRCA","Gray Catbird",5
"234","HOMR-1","2025-07-05 05:42:00","HAWO","Hairy Woodpecker",5
"235","HOMR-1","2025-07-05 05:42:00","DOWO","Downy Woodpecker",NA
"236","HOMR-1","2025-07-06 06:43:00","COGR","Common Grackle",5
"237","HOMR-1","2025-07-06 07:43:00","BRCR","Brown Creeper",5
"238","HOMR-1","2025-07-08 06:44:00","HOFI","House Finch",5
"239","HRDP-1","2025-06-13 04:35:00","WAVI","Warbling Vireo",5
"240","HRDP-1","2025-06-13 08:35:00","YRWA","Yellow-rumped Warbler",5
"241","HRDP-1","2025-06-14 05:35:00","GCFL","Great Crested Flycatcher",NA
"242","HRDP-1","2025-06-14 05:35:00","WAVI","Warbling Vireo",5
"243","HRDP-1","2025-06-14 06:35:00","RBGU","Ring-billed Gull",NA
"244","HRDP-1","2025-06-14 06:35:00","RBGR","Rose-breasted Grosbeak",5
"245","HRDP-1","2025-06-14 06:35:00","WAVI","Warbling Vireo",5
"246","HRDP-1","2025-06-14 07:35:00","RBGR","Rose-breasted Grosbeak",5
"247","HRDP-1","2025-06-14 07:35:00","RWBL","Red-winged Blackbird",NA
"248","HRDP-1","2025-06-15 05:35:00","AMRO","American Robin",NA
"249","HRDP-1","2025-06-15 06:35:00","RBGR","Rose-breasted Grosbeak",5
"250","HRDP-1","2025-06-15 06:35:00","EUST","European Starling",5
"251","HRDP-1","2025-06-15 07:35:00","SOSP","Song Sparrow",5
"252","HRDP-1","2025-06-15 08:35:00","CHSP","Chipping Sparrow",NA
"253","HRDP-1","2025-06-15 08:35:00","NHWR","Northern House Wren",5
"254","HRDP-1","2025-06-15 08:35:00","AMGO","American Goldfinch",NA
"255","HRDP-1","2025-06-16 04:35:00","CHSP","Chipping Sparrow",NA
"256","HRDP-1","2025-06-16 07:35:00","GRCA","Gray Catbird",5
"257","HRDP-1","2025-06-17 05:35:00","AMRO","American Robin",NA
"258","HRDP-1","2025-06-17 06:35:00","YEWA","Yellow Warbler",NA
"259","HRDP-1","2025-06-18 05:35:00","REVI","Red-eyed Vireo",5
"260","HRDP-1","2025-06-18 05:35:00","YEWA","Yellow Warbler",NA
"261","HRDP-1","2025-06-18 05:35:00","NOCA","Northern Cardinal",NA
"262","HRDP-1","2025-06-18 06:35:00","RSHA","Red-shouldered Hawk",5
"263","HRDP-1","2025-06-18 07:35:00","CHSP","Chipping Sparrow",NA
"264","HRDP-1","2025-06-19 06:35:00","GRCA","Gray Catbird",5
"265","HRDP-1","2025-06-19 07:35:00","CSWA","Chestnut-sided Warbler",5
"266","HRDP-1","2025-06-19 08:35:00","NOFL","Northern Flicker",5
"267","HRDP-1","2025-06-20 07:35:00","NOFL","Northern Flicker",5
"268","HRDP-1","2025-06-21 05:35:00","RBGU","Ring-billed Gull",NA
"269","HRDP-1","2025-06-21 05:35:00","GCFL","Great Crested Flycatcher",5
"270","HRDP-1","2025-06-21 08:35:00","CHSW","Chimney Swift",NA
"271","HRDP-1","2025-06-22 08:35:00","YEWA","Yellow Warbler",NA
"272","HRDP-1","2025-06-23 05:36:00","NHWR","Northern House Wren",5
"273","HRDP-1","2025-06-23 06:36:00","NOFL","Northern Flicker",5
"274","HRDP-1","2025-06-23 07:36:00","RSHA","Red-shouldered Hawk",5
"275","HRDP-1","2025-06-23 08:36:00","CORA","Common Raven",NA
"276","HRDP-1","2025-06-23 08:36:00","CEDW","Cedar Waxwing",NA
"277","HRDP-1","2025-06-24 04:36:00","AMCR","American Crow",NA
"278","HRDP-1","2025-06-24 05:36:00","NHWR","Northern House Wren",5
"279","HRDP-1","2025-06-25 05:36:00","CHSW","Chimney Swift",NA
"280","HRDP-1","2025-06-25 06:36:00","CSWA","Chestnut-sided Warbler",5
"281","HRDP-1","2025-06-26 04:37:00","SOSP","Song Sparrow",NA
"282","HRDP-1","2025-06-26 05:37:00","BCCH","Black-capped Chickadee",NA
"283","HRDP-1","2025-06-27 05:37:00","REVI","Red-eyed Vireo",NA
"284","HRDP-1","2025-06-27 06:37:00","GRCA","Gray Catbird",5
"285","HRDP-1","2025-06-27 07:37:00","AMRE","American Redstart",5
"286","HRDP-1","2025-06-27 08:37:00","CORA","Common Raven",NA
"287","HRDP-1","2025-06-28 04:38:00","SOSP","Song Sparrow",NA
"288","HRDP-1","2025-06-29 06:38:00","COYE","Common Yellowthroat",5
"289","HRDP-1","2025-06-30 07:39:00","CMWA","Cape May Warbler",5
"290","HRDP-1","2025-06-30 07:39:00","AMGO","American Goldfinch",NA
"291","HRDP-1","2025-06-30 08:39:00","BCCH","Black-capped Chickadee",NA
"292","HRDP-1","2025-07-01 07:39:00","CORA","Common Raven",NA
"293","HRDP-1","2025-07-02 06:40:00","AMCR","American Crow",NA
"294","HRDP-1","2025-07-02 07:40:00","BCCH","Black-capped Chickadee",NA
"295","HRDP-1","2025-07-02 08:40:00","DOWO","Downy Woodpecker",5
"296","HRDP-1","2025-07-04 05:41:00","AMCR","American Crow",NA
"297","HRDP-1","2025-07-04 06:41:00","AMRO","American Robin",NA
"298","HRDP-1","2025-07-04 07:41:00","PUFI","Purple Finch",5
"299","HRDP-1","2025-07-05 04:42:00","NOCA","Northern Cardinal",NA
"300","HRDP-1","2025-07-05 06:42:00","BLJA","Blue Jay",NA
"301","HRDP-1","2025-07-05 06:42:00","KILL","Killdeer",5
"302","HRDP-1","2025-07-05 07:42:00","GCFL","Great Crested Flycatcher",NA
"303","HRDP-1","2025-07-07 05:43:00","CHSW","Chimney Swift",NA
"304","HRDP-1","2025-07-07 05:43:00","NOCA","Northern Cardinal",NA
"305","HRDP-1","2025-07-07 07:43:00","REVI","Red-eyed Vireo",NA
"306","HRDP-1","2025-07-08 08:44:00","AMRE","American Redstart",5
"307","HRDP-1","2025-07-09 04:45:00","RBGU","Ring-billed Gull",NA
"308","HRDP-1","2025-07-09 08:45:00","DOWO","Downy Woodpecker",NA
"309","HRDP-1","2025-07-10 05:46:00","AMGO","American Goldfinch",NA
"310","HRDP-1","2025-07-10 08:46:00","CEDW","Cedar Waxwing",5
"311","HRDP-1","2025-07-11 05:46:00","COGR","Common Grackle",5
"312","HRDP-1","2025-07-11 06:46:00","CEDW","Cedar Waxwing",NA
"313","HRDP-1","2025-07-11 07:46:00","RSHA","Red-shouldered Hawk",5
"314","HRDP-2","2025-06-13 07:35:00","AMRE","American Redstart",5
"315","HRDP-2","2025-06-13 08:35:00","EUST","European Starling",5
"316","HRDP-2","2025-06-14 04:35:00","YEWA","Yellow Warbler",5
"317","HRDP-2","2025-06-14 05:35:00","NOCA","Northern Cardinal",NA
"318","HRDP-2","2025-06-14 05:35:00","AMGO","American Goldfinch",NA
"319","HRDP-2","2025-06-14 05:35:00","AMRE","American Redstart",5
"320","HRDP-2","2025-06-14 06:35:00","RBGU","Ring-billed Gull",NA
"321","HRDP-2","2025-06-14 07:35:00","YEWA","Yellow Warbler",NA
"322","HRDP-2","2025-06-14 08:35:00","AMGO","American Goldfinch",NA
"323","HRDP-2","2025-06-15 05:35:00","CEDW","Cedar Waxwing",5
"324","HRDP-2","2025-06-15 07:35:00","REVI","Red-eyed Vireo",NA
"325","HRDP-2","2025-06-15 07:35:00","EUST","European Starling",5
"326","HRDP-2","2025-06-15 08:35:00","WAVI","Warbling Vireo",5
"327","HRDP-2","2025-06-15 08:35:00","CHSW","Chimney Swift",5
"328","HRDP-2","2025-06-16 04:35:00","AMRO","American Robin",NA
"329","HRDP-2","2025-06-16 05:35:00","EUST","European Starling",5
"330","HRDP-2","2025-06-16 05:35:00","AMGO","American Goldfinch",NA
"331","HRDP-2","2025-06-17 06:35:00","REVI","Red-eyed Vireo",NA
"332","HRDP-2","2025-06-17 07:35:00","BLJA","Blue Jay",NA
"333","HRDP-2","2025-06-18 05:35:00","NOCA","Northern Cardinal",NA
"334","HRDP-2","2025-06-18 07:35:00","CHSW","Chimney Swift",5
"335","HRDP-2","2025-06-18 07:35:00","GCFL","Great Crested Flycatcher",5
"336","HRDP-2","2025-06-19 04:35:00","CSWA","Chestnut-sided Warbler",5
"337","HRDP-2","2025-06-19 04:35:00","CHSP","Chipping Sparrow",NA
"338","HRDP-2","2025-06-19 05:35:00","REVI","Red-eyed Vireo",NA
"339","HRDP-2","2025-06-19 08:35:00","CORA","Common Raven",NA
"340","HRDP-2","2025-06-19 08:35:00","MAWA","Magnolia Warbler",5
"341","HRDP-2","2025-06-21 05:35:00","BHVI","Blue-headed Vireo",5
"342","HRDP-2","2025-06-21 07:35:00","MAWA","Magnolia Warbler",5
"343","HRDP-2","2025-06-21 07:35:00","CEDW","Cedar Waxwing",5
"344","HRDP-2","2025-06-21 07:35:00","RBGU","Ring-billed Gull",NA
"345","HRDP-2","2025-06-22 07:35:00","GRCA","Gray Catbird",5
"346","HRDP-2","2025-06-22 08:35:00","CHSW","Chimney Swift",NA
"347","HRDP-2","2025-06-23 07:36:00","NOFL","Northern Flicker",5
"348","HRDP-2","2025-06-23 07:36:00","GCFL","Great Crested Flycatcher",NA
"349","HRDP-2","2025-06-23 08:36:00","CORA","Common Raven",NA
"350","HRDP-2","2025-06-24 04:36:00","AMRO","American Robin",NA
"351","HRDP-2","2025-06-24 04:36:00","SOSP","Song Sparrow",5
"352","HRDP-2","2025-06-24 05:36:00","DOWO","Downy Woodpecker",5
"353","HRDP-2","2025-06-24 07:36:00","AMRE","American Redstart",5
"354","HRDP-2","2025-06-24 07:36:00","RSHA","Red-shouldered Hawk",5
"355","HRDP-2","2025-06-25 04:36:00","AMRO","American Robin",NA
